# Scan universe — every listed company in ../stocks.csv with a tradable listing.
# Generated by build_universe.py; edit stocks.csv and re-run, not this file.
#
# One company per line:  <ISIN>,<Yahoo symbol>
#   ISIN         the identity carried into trend.json
#   Yahoo symbol how the price is fetched: SYMBOL.NS on NSE, CODE.BO for
#                BSE-only listings
#
# 1989 companies (1861 NSE, 128 BSE-only). 10 companies in stocks.csv
# are listed on neither exchange and cannot be scanned.
INE144J01027,20MICRONS.NS
INE495C01010,SANGAMIND.NS
INE989A01032,SANGHVIMOV.NS
INE058A01010,SANOFI.NS
INE0UOS01011,SANOFICONR.NS
INE953O01021,SANSERA.NS
INE08NE01025,SANSTAR.NS
INE806T01020,SAPPHIRE.NS
INE385C01021,SARDAEN.NS
INE979A01025,SAREGAMA.NS
INE453D01025,SARLAPOLY.NS
INE0PUC01020,SARTELE.NS
INE231F01020,SASKEN.NS
INE170E01023,SATIA.NS
INE836B01017,SATIN.NS
INE626A01014,SAURASHCEM.NS
INE318C01014,SAYAJIHOTL.NS
INE04AK01028,SBC.NS
INE386D01027,SBCL.NS
INE423Y01016,SBFC.NS
INE018E01016,SBICARD.NS
INE640G01020,SBIFUNDS.NS
INE123W01016,SBILIFE.NS
INE062A01020,SBIN.NS
INE513A01022,SCHAEFFLER.NS
INE839M01018,SCHNEIDER.NS
INE109A01011,SCI.NS
INE0PB301013,SCILAL.NS
INE090501011,SCODATUBES.NS
INE501Y01019,SCPL.NS
INE480C01038,SDBL.NS
INE497B01018,SEAMECLTD.NS
INE00XB01019,SEDEMAC.NS
INE440T01028,SEIL.NS
INE0R8O23017,SEITINVIT.NS
INE955I01044,SEJALLTD.NS
INE068B01017,SEKURITIND.NS
INE602W01027,SENCO.NS
INE0RB801010,SENORES.NS
INE964H01014,SEPC.NS
INE782X01033,SERVOTECH.NS
INE630A01024,SESHAPAPER.NS
INE0M4D01010,SETL.NS
INE916U01025,SFL.NS
INE618R01015,SGFIN.NS
INE00QT01015,SGIL.NS
INE385F01024,SGMART.NS
INE414Y01015,SGRL.NS
INE12UN01015,SHADOWFAX.NS
INE151G01028,SHAILY.NS
INE908D01010,SHAKTIPUMP.NS
INE597J01018,SHALBY.NS
INE849C01026,SHALPAINTS.NS
INE631A01022,SHANTIGEAR.NS
INE06ZD01017,SHANTIGOLD.NS
INE221J01015,SHARDACROP.NS
INE597I01028,SHARDAMOTR.NS
INE932X01026,SHAREINDIA.NS
INE024F01011,SHILCTECH.NS
INE790G01031,SHILPAMED.NS
INE220Z01013,SHINDL.NS
INE0FOO01011,SHIPROCKET.NS
INE719F01016,SHIVAUM.NS
INE500L01026,SHK.NS
INE498B01024,SHOPERSTOP.NS
INE311M01018,SHRADDHA.NS
INE232A01011,SHREDIGCEM.NS
INE070A01015,SHREECEM.NS
INE1B6101010,SHREEJISPG.NS
INE712K01011,SHREEPUSHK.NS
INE879A01019,SHREERAMA.NS
INE0GTI23014,SHREMINVIT.NS
INE0DM401012,SHRIAHIMSA.NS
INE1B3L01017,SHRINGARMS.NS
INE526E01018,SHRIPISTON.NS
INE721A01047,SHRIRAMFIN.NS
INE217L01019,SHRIRAMPPS.NS
INE564J01026,SHRJAGP.NS
INE551C01044,SHUKRAPHAR.NS
INE810G01011,SHYAMMETL.NS
INE075B01020,SICALLOG.NS
INE003A01024,SIEMENS.NS
INE0D0K01022,SIGACHI.NS
INE933B01012,SIGMAADV.NS
INE903U01023,SIGNATURE.NS
INE0KGZ01021,SIGNPOST.NS
INE438E01032,SIKA.NS
INE625X01026,SILVERTUC.NS
INE059B01024,SIMPLEXINF.NS
INE325D01025,SINDHUTRAD.NS
INE638A01035,SINGERIND.NS
INE792Z01011,SIRCA.NS
INE285J01028,SIS.NS
INE076B01028,SIYSIL.NS
INE0F3301020,SJLOGISTIC.NS
INE284S01014,SJS.NS
INE002L01015,SJVN.NS
INE640A01023,SKFINDIA.NS
INE2J8701016,SKFINDUS.NS
INE439E01022,SKIPPER.NS
INE411D01023,SKMEGGPROD.NS
INE01IU01018,SKYGOLD.NS
INE0NAZ01010,SMARTWORKS.NS
INE103C01036,SMCGLOBAL.NS
INE294B01019,SMLMAH.NS
INE812G01025,SMSPHARMA.NS
INE734N01019,SNOWMAN.NS
INE671H01015,SOBHA.NS
INE728Z01015,SOFTTECH.NS
INE624Z01016,SOLARA.NS
INE343H01029,SOLARINDS.NS
INE0TY101024,SOLARWORLD.NS
INE880Y01017,SOLEX.NS
INE355A01028,SOMANYCERA.NS
INE073K01018,SONACOMS.NS
INE269A01021,SONATSOFTW.NS
INE035D01020,SOTL.NS
INE683A01023,SOUTHBANK.NS
INE980Y01015,SOUTHWEST.NS
INE212I01016,SPAL.NS
INE572J01011,SPANDANA.NS
INE232I01014,SPARC.NS
INE247M01014,SPECIALITY.NS
INE01EO01010,SPECTRUM.NS
INE252A01019,SPELS.NS
INE147A01011,SPIC.NS
INE285B01017,SPICEJET.NS
INE663A01033,SPLPETRO.NS
INE937A01023,SPMLINFRA.NS
INE885H01029,SPORTKING.NS
INE099F01013,SREEL.NS
INE647A01010,SRF.NS
INE917H01012,SRHHYPOLTD.NS
INE0R6Z01013,SRM.NS
INE0RFP01011,SSEGL.NS
INE802C01033,SSWL.NS
INE0RYC01010,STALLION.NS
INE01A001028,STANLEY.NS
INE939A01011,STAR.NS
INE460H01021,STARCEMENT.NS
INE575P01011,STARHEALTH.NS
INE655A01013,STCINDIA.NS
INE124E01038,STEELCAS.NS
INE503B01021,STEELXIND.NS
INE577L01016,STEL.NS
INE334A01023,STERTOOLS.NS
INE1VXE01018,STLNETWORK.NS
INE089C01029,STLTECH.NS
INE00IN01015,STOVEKRAFT.NS
INE00Q601028,STUDDS.NS
INE04VU01023,STYL.NS
INE239C01020,STYLAMIND.NS
INE01FR01028,STYLEBAAZA.NS
INE189B01011,STYRENIX.NS
INE754A01055,SUBEXLTD.NS
INE287B01021,SUBROS.NS
INE492A01029,SUDARCOLOR.NS
INE659A01023,SUDARSCHEM.NS
INE0QPI01025,SUDEEPPHRM.NS
INE142Q01026,SULA.NS
INE235C01036,SUMEETINDS.NS
INE258G01013,SUMICHEM.NS
INE519C01017,SUMMITSEC.NS
INE0Q3R01026,SUNCLAY.NS
INE660A01013,SUNDARMFIN.NS
INE387A01021,SUNDRMFAST.NS
INE209A01019,SUNDROP.NS
INE947A01014,SUNFLAG.NS
INE0U2N01013,SUNLITE.NS
INE044A01036,SUNPHARMA.NS
INE671K01027,SUNRAKSHAK.NS
INE199E01014,SUNSHIEL.NS
INE805D01034,SUNTECK.NS
INE424H01027,SUNTV.NS
INE399C01030,SUPRAJIT.NS
INE195A01028,SUPREMEIND.NS
INE550H01011,SUPREMEINF.NS
INE0QHG01026,SUPREMEPWR.NS
INE07RO01027,SUPRIYA.NS
INE843S01025,SURAJEST.NS
INE877V01027,SURAKSHA.NS
INE335A01020,SURYAROSNI.NS
INE428Q01011,SURYODAY.NS
INE645H01027,SUTLEJTEX.NS
INE495B01038,SUVEN.NS
INE442P01014,SUYOG.NS
INE040H01021,SUZLON.NS
INE00CE01017,SVLL.NS
INE665A01038,SWANCORP.NS
INE542F01020,SWANDEF.NS
INE0GMR01016,SWARAJ.NS
INE277A01016,SWARAJENG.NS
INE409B01013,SWELECTES.NS
INE00H001014,SWIGGY.NS
INE00M201021,SWSOLAR.NS
INE225D01027,SYMPHONY.NS
INE312C01025,SYNCOMF.NS
INE398R01022,SYNGENE.NS
INE0DYJ01015,SYRMA.NS
INE356B01024,SYSTMTXC.NS
INE524T01011,TAALTECH.NS
INE0SOY01013,TAC.NS
INE586B01026,TAJGVK.NS
INE187D01029,TALBROAUTO.NS
INE692C01020,TANAA.NS
INE0Z7N01017,TANKUP.NS
INE483C01032,TANLA.NS
INE0EK901012,TARC.NS
INE763I01026,TARIL.NS
INE144Z01023,TARSONS.NS
INE488B01017,TASTYBITE.NS
INE976I01016,TATACAP.NS
INE092A01019,TATACHEM.NS
INE151A01013,TATACOMM.NS
INE192A01025,TATACONSUM.NS
INE670A01012,TATAELXSI.NS
INE672A01026,TATAINVEST.NS
INE245A01021,TATAPOWER.NS
INE081A01020,TATASTEEL.NS
INE142M01025,TATATECH.NS
INE0GK401011,TATVA.NS
INE673O01025,TBOTEK.NS
INE760L01018,TBZ.NS
INE887D01016,TCC.NS
INE688A01022,TCI.NS
INE586V01016,TCIEXP.NS
INE822C01015,TCPLPACK.NS
INE467B01029,TCS.NS
INE419M01035,TDPOWERSYS.NS
INE985S01024,TEAMLEASE.NS
INE669C01036,TECHM.NS
INE1D0W01018,TECHNOCRAF.NS
INE285K01026,TECHNOE.NS
INE314H01012,TECHNVISN.NS
INE011K01018,TEGA.NS
INE17WC01013,TEJASCARGO.NS
INE010J01012,TEJASNET.NS
INE869Y01028,TEMBO.NS
INE19RI01016,TENNIND.NS
INE435C01024,TEXINFRA.NS
INE621L01012,TEXRAIL.NS
INE305A01023,TFCILTD.NS
INE284B01028,TGVSL.NS
INE085J01014,THANGAMAYL.NS
INE121N01019,THEJO.NS
INE0AQ201015,THELEELA.NS
INE083B01024,THEMISMED.NS
INE152A01029,THERMAX.NS
INE332A01027,THOMASCOOK.NS
INE594H01019,THYROCARE.NS
INE133E01013,TI.NS
INE545H01011,TIIL.NS
INE974X01010,TIINDIA.NS
INE806C01018,TIL.NS
INE508G01029,TIMETECHNO.NS
INE064A01026,TIMEX.NS
INE325A01013,TIMKEN.NS
INE015C01016,TINNARUBR.NS
INE716B01029,TIPSMUSIC.NS
INE338A01024,TIRUMALCHM.NS
INE319Y01024,TIRUPATIFL.NS
INE615H01020,TITAGARH.NS
INE280A01028,TITAN.NS
INE668A01016,TMB.NS
INE1TAE01010,TMCV.NS
INE155A01022,TMPV.NS
INE148A01019,TNPETRO.NS
INE107A01015,TNPL.NS
INE685A01028,TORNTPHARM.NS
INE813H01021,TORNTPOWER.NS
INE413G01022,TPLPLASTEH.NS
INE687A01016,TRANSPEK.NS
INE454P01035,TRANSRAILL.NS
INE103V01028,TRAVELFOOD.NS
INE0O3901029,TREL.NS
INE849A01020,TRENT.NS
INE064C01022,TRIDENT.NS
INE440G01017,TRITONV.NS
INE152M01016,TRITURBINE.NS
INE256C01024,TRIVENI.NS
INE0MWH01014,TRUALT.NS
INE202Z01029,TSFINV.NS
INE910C01018,TTKHLTCARE.NS
INE690A01028,TTKPRESTIG.NS
INE517B01013,TTML.NS
INE0OC301013,TURTLEMINT.NS
INE400A01014,TUTIALKA.NS
INE236G01019,TVSELECT.NS
INE105A01035,TVSHLTD.NS
INE1JNC23012,TVSINVIT.NS
INE494B01023,TVSMOTOR.NS
INE395N01027,TVSSCS.NS
INE421C01016,TVSSRICHAK.NS
INE038F01029,TVTODAY.NS
INE686F01025,UBL.NS
INE691A01018,UCOBANK.NS
INE851I01011,UDS.NS
INE899L01030,UEL.NS
INE382M01027,UFBL.NS
INE516A01017,UFLEX.NS
INE071E01023,UGARSUGAR.NS
INE583D01011,UGROCAP.NS
INE551W01018,UJJIVANSFB.NS
INE481G01011,ULTRACEMCO.NS
INE405A01021,ULTRAMAR.NS
INE351A01035,UNICHEMLAB.NS
INE00U401027,UNIECOM.NS
INE037A01022,UNIENTER.NS
INE0PRF01011,UNIHEALTH.NS
INE0U3I01011,UNIMECH.NS
INE692A01016,UNIONBANK.NS
INE244O01017,UNIPARTS.NS
INE854D01024,UNITDSPR.NS
INE694A01020,UNITECH.NS
INE368U01029,UNITEDPOLY.NS
INE562X01013,UNIVASTU.NS
INE279A01012,UNIVCABLES.NS
INE405E01023,UNOMINDA.NS
INE726E01014,UPHOT.NS
INE628A01036,UPL.NS
INE0CAZ01013,URBANCO.NS
INE228A01035,USHAMART.NS
INE094J01016,UTIAMC.NS
INE735W01017,UTKARSHBNK.NS
INE12UR01024,UTLSOLAR.NS
INE06IJ01010,UTSSAV.NS
INE786F01031,UTTAMSUGAR.NS
INE945H01021,V2RETAIL.NS
INE694D01016,VADILALIND.NS
INE693D01018,VADILENT.NS
INE884A01027,VAIBHAVGBL.NS
INE051B01021,VAKRANGEE.NS
INE0JWS01017,VALIANTLAB.NS
INE565V01010,VALIANTORG.NS
INE1CDF01017,VAML.NS
INE665L01035,VARROC.NS
INE893I01013,VASCONEQ.NS
INE200M01039,VBL.NS
INE205A01025,VEDL.NS
INE694L01019,VEDPOWER.NS
INE484C01030,VEEDOL.NS
INE232E01013,VELJAN.NS
INE398A01010,VENKEYS.NS
INE781S01027,VENTIVE.NS
INE0JA001018,VENUSPIPES.NS
INE411B01019,VENUSREM.NS
INE0IQ001011,VERANDA.NS
INE0KXY23015,VERTIS.NS
INE386A01023,VESUVIUS.NS
INE951I01027,VGUARD.NS
INE701A01023,VHL.NS
INE048C01025,VHLTD.NS
INE632C01026,VIDHIING.NS
INE14UN01029,VIDYAWIRES.NS
INE0TR001017,VIESL.NS
INE043W01024,VIJAYA.NS
INE078V01014,VIKRAMSOLR.NS
INE01R501028,VIKRAN.NS
INE0AZY01017,VILAS.NS
INE579C01029,VIMTALABS.NS
INE410B01037,VINATIORGA.NS
INE498Q01014,VINCOFE.NS
INE707A01012,VINDHYATEL.NS
INE0OSJ01014,VINSYS.NS
INE0OLS01010,VINYAS.NS
INE054A01027,VIPIND.NS
INE467D01017,VIRAT.NS
INE286H01012,VISACHROME.NS
INE392A01021,VISAKAIND.NS
INE270I01022,VISHNU.NS
INE1CLE01013,VISL.NS
INE0MEG01014,VIVIANA.NS
INE24H301028,VIVIDEL.NS
INE807F01027,VIYASH.NS
INE709A01018,VLSFINANCE.NS
INE0GXK01018,VMARCIND.NS
INE665J01013,VMART.NS
INE01EA01019,VMM.NS
INE0I0T01010,VOEPL.NS
INE704J01044,VOGL.NS
INE285C01015,VOITHPAPR.NS
INE540H01012,VOLTAMP.NS
INE226A01021,VOLTAS.NS
INE366I01010,VRLLOG.NS
INE050M01012,VSSL.NS
INE710A01016,VSTIND.NS
INE764D01017,VSTTILLERS.NS
INE825A01020,VTL.NS
INE377N01017,WAAREEENER.NS
INE866K01023,WAAREEINDO.NS
INE299N01021,WAAREERTL.NS
INE956G01038,WABAG.NS
INE0E7301029,WAKEFIT.NS
INE711A01022,WALCHANNAG.NS
INE107F01022,WANBURY.NS
INE0CJF01024,WCIL.NS
INE658T01017,WEALTH.NS
INE855C01023,WEBELSOLAR.NS
INE02WG01024,WEL.NS
INE191B01025,WELCORP.NS
INE625G01013,WELENT.NS
INE389K01018,WELINV.NS
INE731F01037,WELSPLSOL.NS
INE192B01031,WELSPUNLIV.NS
INE274C01019,WENDT.NS
INE274F01020,WESTLIFE.NS
INE085001019,WEWORK.NS
INE715A01015,WHEELS.NS
INE716A01013,WHIRLPOOL.NS
INE0H5O01029,WINDLAS.NS
INE052A01021,WINDMACHIN.NS
INE075A01022,WIPRO.NS
INE049B01025,WOCKPHARMA.NS
INE066O01014,WONDERLA.NS
INE765D01022,WPIL.NS
INE976A01021,WSTCSTPAPR.NS
INE692G01013,XCHANGING.NS
INE445C01015,XPROINDIA.NS
INE0NG701011,XTRANET.NS
INE616Z01012,YASHO.NS
INE0JO301016,YATHARTH.NS
INE0JR601024,YATRA.NS
INE528G01035,YESBANK.NS
INE290E01011,YOGI.NS
INE384C01016,YUKEN.NS
INE07K301024,ZAGGLE.NS
INE256A01028,ZEEL.NS
INE966H01019,ZEEMEDIA.NS
INE520A01027,ZENSARTECH.NS
INE251B01027,ZENTEC.NS
INE342J01019,ZFCVINDIA.NS
INE116C01012,ZFSTEERING.NS
INE518E01015,ZIMLAB.NS
INE358U01012,ZOTA.NS
INE967G01019,ZSARACOM.NS
INE0ISZ01012,ZTECH.NS
INE840M01016,ZUARI.NS
INE217A01012,ZUARIIND.NS
INE010B01027,ZYDUSLIFE.NS
INE768C01028,ZYDUSWELL.NS
