# Scan universe — every listed company in ../stocks.csv with a tradable listing.
# Generated by build_universe.py; edit stocks.csv and re-run, not this file.
#
# One company per line:  <ISIN>,<Yahoo symbol>
#   ISIN         the identity carried into trend.json
#   Yahoo symbol how the price is fetched: SYMBOL.NS on NSE, CODE.BO for
#                BSE-only listings
#
# 1989 companies (1861 NSE, 128 BSE-only). 10 companies in stocks.csv
# are listed on neither exchange and cannot be scanned.
INE144J01027,20MICRONS.NS
INE934C01018,DRAGARWQ.NS
INE506A01018,DREDGECORP.NS
INE089A01031,DRREDDY.NS
INE417B01040,DSSL.NS
INE477B01010,DVL.NS
INE366A01041,DWARKESH.NS
INE600Y01019,DYCL.NS
INE221B01012,DYNAMATECH.NS
INE255Z01027,E2E.NS
INE07O001026,EASEMYTRIP.NS
INE18JU01028,EBGNG.NS
INE738I01010,ECLERX.NS
INE316A01038,ECORECO.NS
INE06HJ01020,ECOSMOBLTY.NS
INE532F01054,EDELWEISS.NS
INE886D01026,EFCIL.NS
INE0U9101019,EFFWA.NS
INE066A01021,EICHERMOT.NS
INE126A01031,EIDPARRY.NS
INE0LLY01014,EIEL.NS
INE546V01010,EIFFL.NS
INE276C01014,EIHAHOTELS.NS
INE230A01023,EIHOTEL.NS
INE158B01016,EIMCOELECO.NS
INE184H01027,EKC.NS
INE280B01018,ELANTAS.NS
INE927X01018,ELCIDIN.NS
INE668G01021,ELDEHSG.NS
INE205B01031,ELECON.NS
INE086A01029,ELECTCAST.NS
INE822G01016,ELECTHERM.NS
INE285A01027,ELGIEQUIP.NS
INE669R01026,ELITECON.NS
INE236E01022,ELLEN.NS
INE579B01039,ELPROINTL.NS
INE548C01032,EMAMILTD.NS
INE830C01026,EMAMIPAP.NS
INE041025011,EMBASSY.NS
INE069I01010,EMBDL.NS
INE168P01015,EMCURE.NS
INE02YR01019,EMIL.NS
INE296H01011,EMKAY.NS
INE1C6T01020,EMMVEE.NS
INE515H01014,EMPIND.NS
INE0OV601013,EMSLIMITED.NS
INE01QM01018,EMUDHRA.NS
